Course,Campus,Term,Section,Invited,Responded,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Median1,Median2,Median3,Median4,Median5,Median6,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,StdDev1,StdDev2,StdDev3,StdDev4,StdDev5,StdDev6
MGHC02H3,UTSC,Summer2013,LEC01,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MGHC02H3,UTSC,Winter_2014,LEC01,39,11,3.4,3.2,4.1,3.5,3.4,3.4,4,3.5,4,4,3,3,4,4,5,4,3,3,1.1,1.2,0.9,1.3,1.1,0.8
MGHC02H3,UTSC,Summer2013,LEC02,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MGHC02H3,UTSC,Winter_2014,LEC02,37,11,3.7,3.3,4.2,3.5,3.7,3.7,4,3,5,4,4,4,3,2,5,4,3,5,1,1.2,1.1,1.1,1,1.2
MGHC02H3,UTSC,Winter_2014,LEC03,39,12,2.7,2.7,3.2,3.1,3,2.5,3,3,3,4,3,3,4,4,3,4,4,3,1.2,1.2,1.1,1.2,1.2,0.9
MGHC02H3,UTSC,Winter_2014,LEC05,39,6,2.6,2.6,3.8,2.8,2.8,3,2,2,4,2,2,3,"2,4",2,"3,4",2,2,3,1.3,1.5,0.8,1.6,1.3,1.4
MGHC02H3,UTSC,Winter_2015,LEC01,39,13,2.9,3.1,3.2,2.8,2.9,2.7,3,3,3.5,2.5,3,2.5,3,3,4,2,4,"2,",1.4,0.9,1.2,1.3,1.3,1.4
MGHC02H3,UTSC,Winter_2015,LEC02,40,11,3.4,3.5,4,3.5,3.5,3.5,3,4,4,3,3,4,3,4,5,3,3,"3,4",1,1,1.3,0.9,1.1,1.1
MGHC02H3,UTSC,Winter_2015,LEC03,40,9,2.8,2.8,4,2.8,2.8,2.9,3,3,4,3,3,3,"2,3",3,5,3,3,2,1.2,1.3,1.1,1.3,1.3,1.1
MGHC02H3,UTSC,Summer_2019,LEC01,40,8,4.1,4.1,3.9,3.6,3.7,3.6,4,4,4,4,4,3,5,4,5,4,4,3,0.9,0.4,1.3,1,1,1.1
MGHC02H3,UTSC,Summer_2019,LEC02,40,11,3.8,3.5,4.1,3.6,3.6,3.5,4,4,4,4,4,4,4,"3,4","4,5",3,3,"2,4,5",1,1.1,0.8,1.2,1.2,1.2
MGHC02H3,UTSC,Fall_2015,LEC04,35,9,4.3,4.2,4.3,3.8,3.8,4,4,4,5,4,4,4,"4,5",5,5,5,5,5,0.7,0.8,1.3,1.3,1.3,1.1
MGHC02H3,UTSC,Winter_2017,LEC01,34,14,3.4,3.6,3.9,3.4,3.4,3.3,3.5,4,4,4,4,3.5,4,"4,5",5,4,4,4,1.2,1.2,1.3,1.4,1.2,1.3
MGHC02H3,UTSC,Winter_2018,LEC01,39,11,3.5,3.6,4,3.7,3.6,3.6,4,3,4,4,4,4,4,"3,5",5,4,4,4,1,1.2,1.1,1.1,1.2,1.3
MGHC02H3,UTSC,Winter_2019,LEC01,41,12,3.1,3.5,3.5,3.1,3.3,3,3,4,4,3,3,3,"2,5",2,"2,4,5",4,"3,4",3,1.6,1.3,1.2,1.4,1.3,1.4
MGHC02H3,UTSC,Winter_2017,LEC02,29,17,3.6,3.9,4.1,3.9,3.8,3.4,4,4,4,4,4,3,"4,5",5,5,5,4,3,1.3,1.2,1.2,1.3,1.2,1.3
MGHC02H3,UTSC,Winter_2017,LEC03,33,11,3,3.1,3.7,3.1,3.3,3,3,3,4,3,3,3,3,3,5,"1,5","3,5",3,1.5,1.4,1.5,1.6,1.5,1.5
MGHC02H3,UTSC,Winter_2017,LEC04,36,12,3.1,3.2,3.8,2.9,2.8,3.3,3,3,3.5,3,2.5,3,3,3,"3,5","1,4","2,",3,1.2,1.3,1.3,1.5,1.5,1.3
MGHC02H3,UTSC,Winter_2018,LEC04,32,12,2.5,2.7,3.5,2.8,2.9,2.8,2,2.5,4,3,3,3,1,"1,4",5,1,1,"1,4",1.4,1.5,1.5,1.7,1.6,1.5
MGHC02H3,UTSC,Winter_2019,LEC04,45,11,3.8,4.2,4.5,4.5,4.5,3.5,3,4,5,5,5,3,3,5,5,5,5,3,1,1,0.8,0.7,0.8,0.8
MGHC02H3,UTSC,Winter_2017,LEC05,39,11,4.1,3.9,3.9,3.8,3.6,3.9,5,4,4,4,4,4,5,5,5,5,"4,",5,1.1,1,1,1.3,1.1,1
MGHC02H3,UTSC,Winter_2018,LEC05,35,10,3.1,3.7,3.9,3.6,3.4,3.3,3,4,4,3.5,3,3,3,4,4,3,3,3,1.1,0.9,1,1,1.1,0.9
MGHC02H3,UTSC,Winter_2019,LEC05,39,12,3.2,3.1,3.4,2.9,2.7,2.7,4,3,4,3,3,3,4,3,"2,4","1,3","1,3",3,1.5,1.4,1.2,1.5,1.5,1.3
MGHC52H3,UTSC,Fall_2017,LEC30,12,7,4.6,4.6,4.6,4.3,4.1,4.3,5,5,5,5,5,5,5,5,5,5,5,5,1.1,1.1,1.1,1.1,1.2,1.1
MGHC52H3,UTSC,Fall_2018,LEC30,22,9,4.6,4.7,4.8,4.6,4.8,4.6,5,5,5,5,5,5,5,5,5,5,5,5,0.5,0.5,0.4,0.7,0.4,0.5
MGHC52H3,UTSC,Fall_2019,LEC30,26,10,3.8,4,4.3,3.1,3.1,3.5,4,4,4.5,3.5,3,3.5,4,4,5,4,"3,4","3,4",1.2,0.9,0.9,1.4,1.2,1.1
MGHC52H3,UTSC,Fall_2019,LEC30,26,10,3.8,4,4.3,3.1,3.1,3.5,4,4,4.5,3.5,3,3.5,4,4,5,4,"3,4","3,4",1.2,0.9,0.9,1.4,1.2,1.1
MGHC53H3,UTSC,Winter_2017,LEC01,10,4,3.5,3.3,3.5,3.3,3.3,3.3,3.5,3,3.5,3,3,3,"3,",3,"2,5",3,3,2,1.3,1.3,1.7,1.3,1.3,1.5
MGHC53H3,UTSC,Winter_2018,LEC01,12,7,3.5,3.8,4.3,3.8,4.2,3.8,3.5,4,5,4,4.5,3.5,"3,4",5,5,5,5,3,1,1.3,1,1.3,1,1
MGHC53H3,UTSC,Winter_2019,LEC01,14,4,2.8,2.5,3.3,3,3,3,2.5,2.5,3,3,2.5,2.5,"1,2,3,5","1,4",2,"2,4",2,2,1.7,1.7,1.5,1.2,1.4,1.4
MGHD28H3,UTSC,Fall_2015,LEC01,15,9,3.4,3.1,3.4,3.2,3,2.9,3,3,4,3,3,3,"3,5",2,5,3,"2,4","2,",1.4,1.5,1.5,1.3,1.3,1.5
MGHD28H3,UTSC,Fall_2016,LEC01,17,8,3.4,3.3,3.3,3.8,3.8,2.9,3,3,3,4,4,2.5,3,3,5,5,5,2,1.2,1,1.6,1.3,1.4,1.4
MGHD28H3,UTSC,Fall_2017,LEC01,16,3,3.7,3.3,4.3,3,3.7,3.7,3,3,4,3,4,3,3,3,4,"3,","4,",3,1.2,0.6,0.6,1,1.5,1.2
MGHD28H3,UTSC,Fall_2018,LEC01,8,4,3.5,3.3,3.8,3.3,3.3,3,3.5,3,4,3,3,3,"2,3,4,5",2,5,2,2,"1,2,4,5",1.3,1.5,1.5,1.5,1.5,1.8
MGHD28H3,UTSC,Fall_2019,LEC01,13,5,2.4,2.2,2.8,2.4,2.6,2.6,2,2,2,2,2,2,2,1,2,2,"2,4","2,4",1.1,1.3,1.3,1.1,1.3,1.3
MGHD28H3,UTSC,Winter_2015,LEC30,18,8,2.9,2.8,3.3,2.4,2.5,2.6,3,3,3,2,2,2.5,"2,3",3,3,2,2,2,0.8,0.7,0.7,0.7,0.8,0.7
MGM360H5,UTM,Fall_2017,LEC0101,24,10,2.5,2.8,2.5,2.4,2.5,2.2,2.5,3,2,2,2,2,3,3,2,"1,2",2,2,1.2,1.1,1.3,1.3,1.3,1.2
MGM364H5,UTM,Winter_2018,LEC0101,19,7,4.2,4,3.8,3.8,3.3,3.5,4,4,4,4,3.5,4,4,"4,","4,5","4,5",5,4,0.8,0.9,1.2,1.2,1.6,1.4
MGM464H5,UTM,Fall_2016,LEC0101,19,4,1.3,1.8,2.3,3,3,1.5,1,1.5,2,2.5,2.5,1.5,1,1,1,2,2,"1,2",0.5,1,1.5,1.4,1.4,0.6
MGM464H5,UTM,Fall_2017,LEC0101,14,5,2.6,2.6,2.2,2.2,2.2,1.8,2,2,2,2,2,1,2,2,"1,2",2,2,1,1.5,1.5,1.6,1.1,1.1,1.3
MGT1260H,,Fall_2013,LEC0101,57,35,2.6,2.6,3.2,2.5,2.7,2.7,2,3,3,3,2,3,1,"1,3",4,3,2,3,1.5,1.3,1.3,1.1,1.2,1.3
MGT262H5,UTM,Fall_2016,LEC0101,56,16,2.9,2.5,3.2,2.6,2.6,2.4,3,2,4,2.5,3,2.5,4,2,4,4,3,3,1.2,1.1,1.4,1.2,1,1.1
MGT262H5,UTM,Fall_2016,LEC0102,49,31,3.1,3.4,3.5,2.7,3.1,3,3,4,4,3,3,3,4,4,5,4,4,3,1.1,1.2,1.3,1.3,1.2,1.1
MGT262H5,UTM,Winter_2017,LEC0103,46,9,2.4,2.6,2.7,2.4,2.7,2.6,3,2,3,3,3,3,3,2,3,3,3,"1,3",1.3,1.3,1.3,1.3,1.4,1.4
MGT461H5,UTM,Winter_2013,LEC6001,43,16,3.3,3.3,3.6,3,3.1,3,4,4,4,3,3,3,4,4,4,"2,",2,"2,",1.4,1.4,1.3,N/A,1.4,N/A
MGT461H5,UTM,Winter_2014,LEC0101,34,11,4.3,4.2,4.4,3.4,3.3,4.1,5,4,5,4,4,4,5,"4,5",5,4,4,5,1,1,0.7,0.7,0.9,1.1
MGT461H5,UTM,Winter_2015,LEC0101,33,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MGT461H5,UTM,Winter_2017,LEC0101,22,8,3.1,3.5,3.6,3.6,3.5,3.1,3,3.5,4,4,4,3,3,5,5,5,5,3,1.6,1.5,1.5,1.5,1.7,1.2
MGT461H5,UTM,Winter_2018,LEC0101,37,10,3.3,3.2,3.5,3.2,3.1,3.4,3,4,4,4,3.5,4,"2,5","4,",5,4,4,5,1.6,1.8,1.6,1.5,1.5,1.7
MGTC52H3,UTSC,Winter_2013,LEC30,28,6,2.8,2.8,3,2.6,3,2.8,2,2,2,2,2,2,"1,5","1,5","2,5",1,"2,5","1,5",2,2,1.9,1.8,1.9,2
MGTC52H3,UTSC,Winter_2013,LEC30,28,6,2.8,2.8,3,2.6,3,2.8,2,2,2,2,2,2,"1,5","1,5","2,5",1,"2,5","1,5",2,2,1.9,1.8,1.9,2
MGTC52H3,UTSC,Winter_2013,LEC30,28,6,2.8,2.8,3,2.6,3,2.8,2,2,2,2,2,2,"1,5","1,5","2,5",1,"2,5","1,5",2,2,1.9,1.8,1.9,2
MGTC90H3,UTSC,Winter_2013,LEC05,46,5,4,4,4.8,4,4,3.8,4,4,5,4,4,3.5,4,4,5,4,4,3,0.8,0.8,0.5,0.8,0.8,1
MGTC90H3,UTSC,Winter_2013,LEC06,38,7,3.7,3.7,4,3.3,4,3,4,4,4,3.5,4,3,4,4,4,4,4,"3,",1,1,0.6,0.8,0.6,0.9
IMI202H5,UTM,Winter_2019,LEC0101,8,5,3.2,3.6,3.6,3.2,3.2,2.8,3,3,4,4,4,3,3,"3,5","2,5",4,4,1,1.1,1.3,1.5,1.6,1.1,1.8
JRE420H1,UTSG,Fall_2018,LEC0103,53,14,3.9,4,4.1,3.7,3.9,3.6,4,4,5,4,4,4,5,4,5,"4,5",5,5,1.3,1,1.5,1.4,1.1,1.5
JRE420H1,UTSG,Winter_2019,LEC0103,56,11,3.2,3.3,3.2,3.1,3.4,3,3,3,3.5,3,3,3,3,"2,3",4,2,3,"2,3",1.1,1.2,1.5,1.4,1.1,1.3
MGM360H5,UTM,Fall_2018,LEC0101,23,11,2.6,3.2,2.7,2.7,2.5,2.3,2,3,3,3,2,2,"2,4",3,"1,3",2,2,3,1.2,1,1.5,1,0.8,1
MGM360H5,UTM,Fall_2019,LEC0101,16,7,1.7,2.7,2.9,2.4,2.3,1.9,1,2,2,2,2,2,1,"1,2,4","1,2,5","1,4",1,"1,2",1.2,1.6,1.8,1.5,1.4,1.1
MGM364H5,UTM,Winter_2019,LEC0101,11,2,1.5,1.5,2.5,1.5,1.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,"1,2","1,2","1,4","1,2","1,2","1,2",0.7,0.7,2.1,0.7,0.7,0.7
MGM466H5,UTM,Fall_2018,LEC0101,15,6,3.2,3.2,3.2,2.7,2.8,2.5,3,3,3,3,2.5,2,"2,3",2,3,3,2,2,1.2,1.3,0.8,1,1,0.8
MGT1160H,UTM,Fall_2019,LEC0101,75,52,2.4,2.3,2.7,2.5,2.5,2.1,2,2,3,2,2,2,"2,3",1,3,2,2,"1,2",1.1,1.3,1.3,1.2,1.3,1.1
MGT1160H,UTM,Fall_2019,LEC0101,38,7,2.4,2.6,3.2,3,3.2,2.4,3,3,3,3,3,2,3,3,3,3,"3,4",2,0.9,0.5,1.5,0.7,0.8,0.5
MGT461H5,UTM,Winter_2019,LEC0101,37,11,3.1,3.2,3.2,3.1,3,2.9,3,3,3,3,3,3,"2,3","2,4",3,"2,3",2,3,1.3,1.3,1.3,1.3,1.3,1.2
